_merge_key,stop_name,boardings,alightings,passengers,route_count,lat,lon,district,total_riders,boardings_per_route,hourly_pattern_boardings,morning_boardings,evening_boardings,peak_hour,peak_hour_label,morning_concentration,evening_concentration,boarding_alighting_diff,boarding_alighting_imbalance,stop_type
name:감삼네거리1|,감삼네거리1,236572,120993,120993,5.0,35.85499103,128.5494093,서구,357565,47314.4,8480.0,726.0,2618.0,16.0,16시,8.56132075471698,30.87264150943396,115579,0.32323913134674814,퇴근형
name:감삼역(3번출구)|,감삼역(3번출구),739291,351062,351062,9.0,35.85451252,128.5491486,달서구,1090353,82143.44444444444,28677.0,4754.0,7511.0,16.0,16시,16.577745231370088,26.191721588729642,388229,0.3560580839416226,퇴근형
name:감삼초등학교건너|,감삼초등학교건너,167781,32344,32344,5.0,35.84907643,128.5465977,달서구,200125,33556.2,5639.0,1030.0,1218.0,16.0,16시,18.265649937932256,21.599574392622806,135437,0.6767620237351655,생활형
name:감삼초등학교앞|,감삼초등학교앞,150506,32049,32049,5.0,35.84885667,128.5462833,달서구,182555,30101.2,5117.0,794.0,1420.0,16.0,16시,15.516904436193082,27.75063513777604,118457,0.6488838980033415,퇴근형
name:갓골건너|,갓골건너,5364,20,20,1.0,35.915825,128.6596783,동구,5384,5364.0,164.0,51.0,35.0,8.0,8시,31.097560975609756,21.341463414634145,5344,0.9925705794947994,출근형
name:갓골앞|,갓골앞,34,826,826,1.0,35.91574667,128.65971,동구,860,34.0,0.0,0.0,0.0,5.0,5시,,,-792,0.9209302325581395,저이용형
name:갓바위|,갓바위,250838,22364,22364,3.0,35.97051168,128.7260467,동구,273202,83612.66666666667,8292.0,823.0,1140.0,14.0,14시,9.925229136517125,13.748191027496382,228474,0.8362823112568722,생활형
name:강남약국건너|,강남약국건너,992907,235529,235529,13.0,35.87999507,128.6106926,북구,1228436,76377.46153846153,36382.0,8597.0,7870.0,8.0,8시,23.629816942444066,21.631576054092683,757378,0.6165384277243584,생활형
name:강남약국앞1|,강남약국앞1,678750,198052,198052,10.0,35.87932058,128.610407,동구,876802,67875.0,24775.0,6001.0,5357.0,8.0,8시,24.22199798183653,21.622603430877902,480698,0.548240081569157,생활형
name:강남약국앞2|,강남약국앞2,186976,26262,26262,3.0,35.88030968,128.6113849,동구,213238,62325.333333333336,6517.0,1442.0,1529.0,7.0,7시,22.12674543501611,23.461715513272978,160714,0.7536836773933352,생활형
name:강동중·고등학교|,강동중·고등학교,140,3750,3750,3.0,35.86662667,128.7288883,동구,3890,46.666666666666664,0.0,0.0,0.0,5.0,5시,,,-3610,0.9280205655526992,저이용형
name:강동중·고등학교건너|,강동중·고등학교건너,54525,116,116,3.0,35.86640165,128.728744,동구,54641,18175.0,1797.0,517.0,199.0,16.0,16시,28.77017250973845,11.074012242626601,54409,0.995754104061053,출근형
name:강동초교건너|,강동초교건너,28738,345,345,1.0,35.86730958,128.7293802,동구,29083,28738.0,939.0,264.0,117.0,8.0,8시,28.115015974440894,12.460063897763577,28393,0.9762747997111715,출근형
name:강동초교앞|,강동초교앞,205,1990,1990,1.0,35.86736125,128.7291701,동구,2195,205.0,0.0,0.0,0.0,5.0,5시,,,-1785,0.8132118451025057,저이용형
name:강변동서마을건너|,강변동서마을건너,119175,6752,6752,3.0,35.87527082,128.6788752,동구,125927,39725.0,4038.0,774.0,851.0,13.0,13시,19.167904903417536,21.074789499752352,112423,0.8927632676074233,생활형
name:강변동서마을앞|,강변동서마을앞,80341,38015,38015,10.0,35.87488957,128.6788323,동구,118356,8034.1,2870.0,367.0,733.0,14.0,14시,12.787456445993032,25.540069686411147,42326,0.3576160059481564,퇴근형
name:강북경찰서건너|,강북경찰서건너,40447,68986,68986,5.0,35.94404493,128.5654183,북구,109433,8089.4,1893.0,533.0,382.0,8.0,8시,28.156365557316427,20.17960908610671,-28539,0.26078970694397485,출근형
name:강북경찰서앞|,강북경찰서앞,221279,20197,20197,5.0,35.94382483,128.5654424,북구,241476,44255.8,8340.0,1526.0,2346.0,17.0,17시,18.297362110311752,28.129496402877695,201082,0.8327204359853567,퇴근형
name:강북소방서건너|,강북소방서건너,28388,33818,33818,5.0,35.94263382,128.5664701,북구,62206,5677.6,1106.0,263.0,222.0,8.0,8시,23.779385171790235,20.07233273056058,-5430,0.0872906150532103,생활형
name:강북소방서앞|,강북소방서앞,270557,30176,30176,6.0,35.94267187,128.5663204,북구,300733,45092.833333333336,9563.0,2851.0,1598.0,7.0,7시,29.81282024469309,16.710237373209242,240381,0.7993170021248084,출근형
name:강북중학교건너|,강북중학교건너,17963,27790,27790,1.0,35.93907833,128.565765,북구,45753,17963.0,598.0,161.0,73.0,15.0,15시,26.923076923076923,12.207357859531772,-9827,0.214783730028632,출근형
name:강북중학교앞|,강북중학교앞,127274,3188,3188,1.0,35.93926907,128.5656751,북구,130462,127274.0,4225.0,1338.0,621.0,7.0,7시,31.668639053254438,14.698224852071007,124086,0.9511275313884503,출근형
